case,caudorostral_edges_mean,caudorostral_weight_mean,contralateral_edges_mean,contralateral_weight_mean,dataset,delta_w_ic_rise_minus_fall_mean,delta_w_rc_rise_minus_fall_mean,edge_density_mean,edge_opportunities_mean,fluo_type,ipsilateral_edges_mean,ipsilateral_weight_mean,method,n_rows,recordings,representation,retained_edges_mean,rostrocaudal_edges_mean,rostrocaudal_weight_mean,total_weight_mean,w_ic_mean,w_rc_mean
dff,29.666666666666668,25.891357182487038,9.0,2.7970242784218606,motoneurons,,,0.3513474270827212,188.0,dff,59.333333333333336,51.477252386220066,cgc,3,F3T1;F3T2;F5T2,full_trace,68.33333333333333,29.666666666666668,25.585895203733028,54.274276664641924,0.9701808068628904,0.5014902819407322
f_smooth,27.333333333333332,24.811218551636017,0.0,0.0,motoneurons,,,0.28907514054572875,188.0,f_smooth,55.333333333333336,49.69956052621478,cgc,3,F3T1;F3T2;F5T2,full_trace,55.333333333333336,28.0,24.888341974578765,49.69956052621478,1.0,0.5149738262884388
dff,29.666666666666668,25.894284759576994,11.0,3.36881238974802,motoneurons,,,0.3653804528804529,188.0,dff,60.333333333333336,52.160282964744376,cgc-star,3,F3T1;F3T2;F5T2,full_trace,71.33333333333333,30.666666666666668,26.26599820516738,55.52909535449239,0.9643887246289933,0.509335996621179
f_smooth,27.333333333333332,24.535232570414294,0.0,0.0,motoneurons,,,0.28060371001547474,188.0,f_smooth,54.666666666666664,49.2917732121571,cgc-star,3,F3T1;F3T2;F5T2,full_trace,54.666666666666664,27.333333333333332,24.756540641742806,49.2917732121571,1.0,0.5016376578872038
published,,,,,motoneurons,,,,,,,,chen_improved_gc,1,published aggregate,published,,,,,1.0,
A,1.3333333333333333,0.16390405238143824,3.6666666666666665,0.5314159275673956,motoneurons,0.7256887373983321,0.6900517490174027,0.03226773226773227,211.33333333333334,A,1.3333333333333333,0.16390405238143824,rising_flank_cgc,3,F3T1;F3T2;F5T2,fall,5.0,0.0,0.0,0.6953199799488338,0.17422394117360562,0.0
A,11.333333333333334,2.5055983520251583,1.6666666666666667,0.578891223413883,motoneurons,0.7256887373983321,0.6900517490174027,0.1247569194937616,211.33333333333334,A,26.0,6.34683279167115,rising_flank_cgc,3,F3T1;F3T2;F5T2,rise,27.666666666666668,14.666666666666666,3.841234439645992,6.925724015085033,0.9186181983868544,0.6313342141173229
B,1.6666666666666667,0.21202655260982647,3.6666666666666665,0.5314159275673956,motoneurons,0.4682475900236384,0.6317323336911422,0.033493222463810694,188.0,B,1.6666666666666667,0.21202655260982647,rising_flank_cgc,3,F3T1;F3T2;F5T2,fall,5.333333333333333,0.0,0.0,0.743442480177222,0.4494826274490704,0.0
B,10.333333333333334,2.2321983369162033,1.6666666666666667,0.5711360404024775,motoneurons,0.4682475900236384,0.6317323336911422,0.12994554465142702,188.0,B,24.0,5.761468433602864,rising_flank_cgc,3,F3T1;F3T2;F5T2,rise,25.666666666666668,13.666666666666666,3.5292700966866595,6.332604474005341,0.9177302174727088,0.6333576114862506
C,1.6666666666666667,0.19724020445823784,5.0,0.7269943076471025,motoneurons,0.5197888828552913,0.33166451235043515,0.04146539734775029,188.0,C,2.3333333333333335,0.27990647783561484,rising_flank_cgc,3,F3T1;F3T2;F5T2,fall,7.333333333333333,0.6666666666666666,0.08266627337737702,1.0069007854827172,0.34755803822423553,0.30677999036921344
C,10.333333333333334,2.3240992337071567,3.0,1.0492657287157046,motoneurons,0.5197888828552913,0.33166451235043515,0.1354400501459325,188.0,C,23.666666666666668,5.743939163293535,rising_flank_cgc,3,F3T1;F3T2;F5T2,rise,26.666666666666668,13.333333333333334,3.4198399295863786,6.793204892009239,0.8673469210795269,0.577363473213866
D,3.0,0.40259388287136977,5.333333333333333,0.7689411110235965,motoneurons,-0.16505207373842862,0.5348018800408662,0.04578779064073182,188.0,D,3.3333333333333335,0.444130221772897,rising_flank_cgc,3,F3T1;F3T2;F5T2,fall,8.666666666666666,0.3333333333333333,0.04153633890152721,1.2130713327964937,0.4233695547310883,0.0974663714991831
D,2.0,0.5902514707697958,8.333333333333334,7.423503199243805,motoneurons,-0.16505207373842862,0.5348018800408662,0.07194227341286165,188.0,D,5.0,1.4366344562129367,rising_flank_cgc,3,F3T1;F3T2;F5T2,rise,13.333333333333334,3.0,0.8463829854431414,8.860137655456741,0.25831748099265966,0.5995284294285246
