case,direction,evidence_strength,manuscript_use,mean_delta_rise_minus_fall,median_delta_rise_minus_fall,method,metric,n_negative,n_pairs,n_positive,p_two_sided_signflip
A,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.09248918722602932,0.08181818181818182,rising_flank_cgc,edge_density,0,3,3,0.25
A,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,22.666666666666668,9.0,rising_flank_cgc,retained_edges,0,3,3,0.25
A,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,6.2304040351362,3.593718361808399,rising_flank_cgc,total_weight,0,3,3,0.25
A,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.7256887373983321,0.7256887373983321,rising_flank_cgc,w_ic,0,2,2,0.5
A,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.6900517490174027,0.6900517490174027,rising_flank_cgc,w_rc,0,1,1,1.0
B,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.0964523221876163,0.08181818181818182,rising_flank_cgc,edge_density,0,3,3,0.25
B,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,20.333333333333332,9.0,rising_flank_cgc,retained_edges,0,3,3,0.25
B,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,5.589161993828118,3.593718361808399,rising_flank_cgc,total_weight,0,3,3,0.25
B,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.4682475900236384,0.451377474796664,rising_flank_cgc,w_ic,1,3,2,0.5
B,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.6317323336911422,0.6317323336911422,rising_flank_cgc,w_rc,0,2,2,0.5
C,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.09397465279818222,0.09090909090909091,rising_flank_cgc,edge_density,0,3,3,0.25
C,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,19.333333333333332,10.0,rising_flank_cgc,retained_edges,0,3,3,0.25
C,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,5.786304106526522,3.943823454820496,rising_flank_cgc,total_weight,0,3,3,0.25
C,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.5197888828552913,0.5169121311407847,rising_flank_cgc,w_ic,0,3,3,0.25
C,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.33166451235043515,0.33166451235043515,rising_flank_cgc,w_rc,0,2,2,0.5
D,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.02615448277212983,0.04779411764705882,rising_flank_cgc,edge_density,1,3,2,0.5
D,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,4.666666666666667,7.0,rising_flank_cgc,retained_edges,1,3,2,0.5
D,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,7.647066322660248,6.486039496921094,rising_flank_cgc,total_weight,0,3,3,0.25
D,fall_higher,descriptive,descriptive until empirical null and stability gates are complete,-0.16505207373842862,-0.11758486266707974,rising_flank_cgc,w_ic,2,3,1,0.75
D,rise_higher,descriptive,descriptive until empirical null and stability gates are complete,0.5348018800408662,0.5348018800408662,rising_flank_cgc,w_rc,0,2,2,0.5
