case,dataset,edge_density_mean,edge_density_std,manuscript_use,method,n_graphs,representation,retained_edges_cv,retained_edges_mean,total_weight_cv,total_weight_mean
medial,hindbrain,0.09210526315789473,,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc,1,full_trace,,35.0,,24.054008116134916
medial,hindbrain,0.060526315789473685,,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc-star,1,full_trace,,23.0,,15.179285113850424
medial,hindbrain,0.06315789473684211,,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,1,fall,,24.0,,3.5664256630068336
medial,hindbrain,0.16578947368421051,,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,1,rise,,63.0,,9.792871523764713
dff,motoneurons,0.34825027913263207,0.03697419868535867,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc,3,full_trace,0.5279026622038028,67.0,0.4851937315232598,54.01230982180444
f_smooth,motoneurons,0.291512654012654,0.01819313718444043,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc,3,full_trace,0.49043341866929985,55.666666666666664,0.5312755494587129,49.856792158266956
dff,motoneurons,0.35984579146343854,0.06047262193395671,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc-star,3,full_trace,0.5751188211030323,69.66666666666667,0.5146589353068665,55.357365359412036
f_smooth,motoneurons,0.26596491743550565,0.0437266257090861,descriptive support; re-estimation stability still needed where readiness gates are missing,cgc-star,3,full_trace,0.5867748577843215,52.0,0.6196397059346301,47.14737539480424
A,motoneurons,0.03226773226773227,0.030427248303189575,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,fall,1.1135528725660042,5.0,1.1455680828615535,0.6953199799488338
A,motoneurons,0.1247569194937616,0.019026422795232267,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,rise,0.7104348427858104,27.666666666666668,0.682220743609829,6.925724015085033
B,motoneurons,0.033493222463810694,0.02849020093531524,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,fall,0.9621752698962908,5.333333333333333,0.989385805253378,0.743442480177222
B,motoneurons,0.12994554465142702,0.02786633044874121,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,rise,0.6334414752341402,25.666666666666668,0.5877546241480643,6.332604474005341
C,motoneurons,0.04146539734775029,0.03601794683633181,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,fall,0.9079538343380992,7.333333333333333,1.0165777899837347,1.0069007854827172
C,motoneurons,0.1354400501459325,0.023162837803119774,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,rise,0.5933222143152909,26.666666666666668,0.5525747096917538,6.793204892009239
D,motoneurons,0.04578779064073182,0.05570828692454613,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,fall,1.155767630870517,8.666666666666666,1.2078618253189144,1.2130713327964937
D,motoneurons,0.07194227341286165,0.005416138372653894,descriptive support; re-estimation stability still needed where readiness gates are missing,rising_flank_cgc,3,rise,0.37749172176353746,13.333333333333334,0.5480929949738749,8.860137655456741
