comparator,condition,delta_f1,delta_false_positive_rate,delta_orientation_accuracy,delta_precision,delta_recall,event_mode,manuscript_use,method,simulator_mode,split,tradeoff_class
fall,low_framerate,-0.12041833983010453,0.0891891891891892,-0.1719047619047619,-0.2577813852813853,0.14,compressed,"method-level synthetic evidence, not empirical biological proof",cgc,static,evaluation,rise_recall_gain_with_fpr_cost
fall,native,0.21549450549450533,-0.008108108108108115,0.3504761904761906,0.11932539682539689,0.32000000000000006,compressed,"method-level synthetic evidence, not empirical biological proof",cgc,static,evaluation,rise_recall_gain_without_fpr_cost
fall,noisy,0.38928404928404914,-0.04054054054054055,0.31619047619047636,0.32690476190476203,0.44000000000000006,compressed,"method-level synthetic evidence, not empirical biological proof",cgc,static,evaluation,rise_recall_gain_without_fpr_cost
fall,shared_input,0.4501986584107327,0.17567567567567569,0.20257936507936514,0.07517316017316017,0.9000000000000001,compressed,"method-level synthetic evidence, not empirical biological proof",cgc,static,evaluation,rise_recall_gain_with_fpr_cost
fall,slow_decay,0.4915584415584416,-0.002702702702702703,0.5183333333333333,0.3448412698412698,0.64,compressed,"method-level synthetic evidence, not empirical biological proof",cgc,static,evaluation,rise_recall_gain_without_fpr_cost
fall,low_framerate,0.1717992954757661,0.12702702702702706,0.14706349206349204,0.08242035742035747,0.3600000000000001,compressed,"method-level synthetic evidence, not empirical biological proof",cgc_star,static,evaluation,rise_recall_gain_with_fpr_cost
fall,native,0.4822259603141955,0.024324324324324326,0.4220238095238095,0.20918470418470425,0.72,compressed,"method-level synthetic evidence, not empirical biological proof",cgc_star,static,evaluation,rise_recall_gain_with_fpr_cost
fall,noisy,0.4093906093906094,0.08648648648648649,0.2252380952380953,0.12003968253968261,0.6600000000000001,compressed,"method-level synthetic evidence, not empirical biological proof",cgc_star,static,evaluation,rise_recall_gain_with_fpr_cost
fall,shared_input,-0.09290557052166964,0.05675675675675679,-0.043055555555555625,-0.07300498521086757,-0.10000000000000009,compressed,"method-level synthetic evidence, not empirical biological proof",cgc_star,static,evaluation,no_rise_recall_gain
fall,slow_decay,0.5066477640007051,-0.05945945945945948,0.3608730158730159,0.3857600732600733,0.6800000000000002,compressed,"method-level synthetic evidence, not empirical biological proof",cgc_star,static,evaluation,rise_recall_gain_without_fpr_cost
fall,dynamic_a_noncausal_fall,0.13529012050751182,0.05714285714285705,-0.07619047619047625,0.0864145658263305,0.23333333333333334,compressed,"method-level synthetic evidence, not empirical biological proof",dynamic_episodic,episodic_dynamic,all,rise_recall_gain_with_fpr_cost
full,dynamic_a_noncausal_fall,0.03007248513440469,0.042857142857142816,-0.040000000000000036,0.017905427905427818,0.06666666666666654,compressed,"method-level synthetic evidence, not empirical biological proof",dynamic_episodic,episodic_dynamic,all,rise_recall_gain_with_fpr_cost
deconvolved,dynamic_a_noncausal_fall,-0.23679957469431162,0.3571428571428571,-0.11142857142857154,-0.271874236874237,-0.13333333333333341,compressed,"method-level synthetic evidence, not empirical biological proof",dynamic_episodic,episodic_dynamic,all,no_rise_recall_gain
fall_residual,dynamic_a_noncausal_fall,0.1392496392496393,0.0714285714285714,0.20047619047619036,0.09464285714285714,0.23333333333333334,compressed,"method-level synthetic evidence, not empirical biological proof",dynamic_episodic,episodic_dynamic,all,rise_recall_gain_with_fpr_cost
fall,static_union,0.21335540276716752,0.08571428571428574,0.1361904761904762,0.13603535353535345,0.4333333333333334,compressed,"method-level synthetic evidence, not empirical biological proof",dynamic_episodic,static,all,rise_recall_gain_with_fpr_cost
full,static_union,-0.14918948440620255,0.21428571428571425,-0.151904761904762,-0.13208041958041972,-0.1333333333333333,compressed,"method-level synthetic evidence, not empirical biological proof",dynamic_episodic,static,all,no_rise_recall_gain
deconvolved,static_union,-0.43717968306203586,0.5857142857142856,-0.18523809523809542,-0.5086255411255411,-0.19999999999999996,compressed,"method-level synthetic evidence, not empirical biological proof",dynamic_episodic,static,all,no_rise_recall_gain
